Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
ALGT,Allegiant Travel Company,121.98,1971174355.68,,2006.0,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt,
ALGR,Allegro Merger Corp.,9.62,0.0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/algr,
ALGRR,Allegro Merger Corp.,0.38,0.0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/algrr,
ALGRU,Allegro Merger Corp.,10.3,0.0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/algru,
ALGRW,Allegro Merger Corp.,0.35,0.0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/algrw,
ALNA,"Allena Pharmaceuticals, Inc.",8.11,168300074.37,,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna,
AMMA,"Alliance MMA, Inc.",0.2936,4363769.1664,,2016.0,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/amma,
ARLP,"Alliance Resource Partners, L.P.",19.55,2545015461.45,,1999.0,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp,
AHPI,"Allied Healthcare Products, Inc.",2.0048,8046338.9776,,1992.0,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ahpi,
AMOT,"Allied Motion Technologies, Inc.",47.65,451549602.3,,,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/amot,
ALQA,"Alliqua BioMedical, Inc.",1.67,8358700.7,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/alqa,
ALLO,"Allogene Therapeutics, Inc.",30.62,0.0,,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/allo,
ALLT,Allot Communications Ltd.,7.27,245103179.1,,2006.0,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/allt,
